"date","open","high","low","Adj Close","ticker","close","volume","moving_avg_7d","daily_change_percentage"
"2020-01-03","74.2874984741211","75.1449966430664","74.125","72.08828735351562","AAPL","74.35749816894531","146322800","74.72","-0.97"
"2020-01-06","73.44750213623047","74.98999786376953","73.1875","72.66273498535156","AAPL","74.94999694824219","118387200","74.80","0.80"
"2020-01-07","74.95999908447266","75.2249984741211","74.37000274658203","72.32097625732422","AAPL","74.59750366210938","108872000","74.75","-0.47"
"2020-01-08","74.29000091552734","76.11000061035156","74.29000091552734","73.4843521118164","AAPL","75.79750061035156","132079200","74.96","1.61"
"2020-01-09","76.80999755859375","77.60749816894531","76.55000305175781","75.04524230957031","AAPL","77.40750122070312","170108400","75.37","2.12"
"2020-01-10","77.6500015258789","78.1675033569336","77.0625","75.21487426757812","AAPL","77.5824966430664","140644800","75.68","0.23"
"2020-01-13","77.91000366210938","79.26750183105469","77.7874984741211","76.82178497314453","AAPL","79.23999786376953","121532000","76.28","2.14"
"2020-01-14","79.17500305175781","79.39250183105469","78.0425033569336","75.78443908691406","AAPL","78.16999816894531","161954400","76.82","-1.35"
"2020-01-15","77.9625015258789","78.875","77.38749694824219","75.45965576171875","AAPL","77.83499908447266","121923600","77.23","-0.43"
"2020-01-16","78.39749908447266","78.92500305175781","78.02249908447266","76.40491485595703","AAPL","78.80999755859375","108829200","77.83","1.25"
"2020-01-17","79.06749725341797","79.68499755859375","78.75","77.25080871582031","AAPL","79.68250274658203","137816400","78.39","1.11"
"2020-01-21","79.29750061035156","79.75499725341797","79.0","76.7272720336914","AAPL","79.14250183105469","110843200","78.64","-0.68"
"2020-01-22","79.6449966430664","79.99749755859375","79.32749938964844","77.00115203857422","AAPL","79.42500305175781","101832400","78.90","0.36"
"2020-01-23","79.4800033569336","79.88999938964844","78.9124984741211","77.37198638916016","AAPL","79.80750274658203","104472000","78.98","0.48"
"2020-01-24","80.0625","80.8324966430664","79.37999725341797","77.14900970458984","AAPL","79.57749938964844","146537600","79.18","-0.29"
"2020-01-27","77.51499938964844","77.94249725341797","76.22000122070312","74.88040161132812","AAPL","77.23750305175781","161940000","79.10","-2.94"
"2020-01-28","78.1500015258789","79.5999984741211","78.04750061035156","76.99874114990234","AAPL","79.42250061035156","162234000","79.19","2.83"
"2020-01-29","81.11250305175781","81.9625015258789","80.34500122070312","78.61048889160156","AAPL","81.08499908447266","216229200","79.39","2.09"
"2020-01-30","80.13500213623047","81.02249908447266","79.6875","78.49658203125","AAPL","80.96749877929688","126743200","79.65","-0.14"
"2020-01-31","80.23249816894531","80.66999816894531","77.07250213623047","75.0161361694336","AAPL","77.37750244140625","199588400","79.35","-4.43"
"2020-02-03","76.07499694824219","78.37249755859375","75.55500030517578","74.81012725830078","AAPL","77.16500091552734","173788400","78.98","-0.27"
"2020-02-04","78.82749938964844","79.91000366210938","78.40750122070312","77.27986907958984","AAPL","79.7125015258789","136616400","79.00","3.30"
"2020-02-05","80.87999725341797","81.19000244140625","79.73750305175781","77.91004180908203","AAPL","80.36250305175781","118826800","79.44","0.82"
"2020-02-06","80.64250183105469","81.30500030517578","80.06500244140625","78.82136535644531","AAPL","81.30249786376953","105425600","79.71","1.17"
"2020-02-07","80.59249877929688","80.8499984741211","79.5","77.74994659423828","AAPL","80.00749969482422","117684000","79.56","-1.59"
"2020-02-10","78.54499816894531","80.38749694824219","78.4625015258789","78.11922454833984","AAPL","80.38749694824219","109348800","79.47","0.47"
"2020-02-11","80.9000015258789","80.9749984741211","79.67749786376953","77.6479263305664","AAPL","79.90249633789062","94323200","79.83","-0.60"
"2020-02-12","80.36750030517578","81.80500030517578","80.36750030517578","79.49187469482422","AAPL","81.80000305175781","113730400","80.50","2.37"
"2020-02-13","81.04750061035156","81.55500030517578","80.8375015258789","78.92581176757812","AAPL","81.21749877929688","94747600","80.71","-0.71"
"2020-02-14","81.18499755859375","81.49500274658203","80.7125015258789","78.94525909423828","AAPL","81.23750305175781","80113600","80.84","0.02"
"2020-02-18","78.83999633789062","79.9375","78.65249633789062","77.49971771240234","AAPL","79.75","152531200","80.61","-1.83"
"2020-02-19","80.0","81.14250183105469","80.0","78.62213897705078","AAPL","80.90499877929688","93984000","80.74","1.45"
"2020-02-20","80.65750122070312","81.1624984741211","79.55249786376953","77.81556701660156","AAPL","80.07499694824219","100566000","80.70","-1.03"
